algorithm,n,comparisons,depth,allocations,timeMillis
MergeSort,100,650,3,300,0
QuickSort,100,640,4,0,1
DeterministicSelect,100,103,0,0,1
ClosestPair,100,133,0,0,3
MergeSort,500,4702,5,2500,0
QuickSort,500,5345,6,0,0
DeterministicSelect,500,515,0,0,0
ClosestPair,500,883,0,0,1
MergeSort,1000,10241,6,6000,1
QuickSort,1000,11193,6,0,0
DeterministicSelect,1000,1002,0,0,0
ClosestPair,1000,1731,0,0,1
MergeSort,5000,58599,9,45000,0
QuickSort,5000,71582,8,0,1
DeterministicSelect,5000,5061,0,0,1
ClosestPair,5000,6703,0,0,6
MergeSort,10000,126733,10,100000,2
QuickSort,10000,155839,9,0,1
DeterministicSelect,10000,10361,0,0,1
ClosestPair,10000,13584,0,0,6
